Title,Playtime,Artist,ReleaseYear,Genre,WavName
Against the Kitchen Floor,5.06,Will Wood,2022,Alt/Indie,Against the Kitchen Floor - Will Wood.wav
ARE WE STILL FRIENDS?,4.41,Tyler the Creator,2019,Hip-Hop,ARE WE STILL FRIENDS_ - Tyler_ The Creator.wav
B.Y.O.B.,4.25,System of a Down,2005,Metal,B.Y.O.B. - System Of A Down.wav
Bamboo Island,1.5,Takeshi Hama,2011,Game,Bamboo Island - Takeshi Hama.wav
Beneath the Mask,4.61,Lyn,2016,Game,Beneath the Mask - Lyn.wav
Breaking Up My Bones,3.08,Vinyl Theatre,2014,Alt/Indie,Breaking up My Bones - Vinyl Theatre.wav
Chalk Outline,3.01,Three Days Grace,2012,Rock,Chalk Outline - Three Days Grace.wav
Dance Dance,4.61,Fall Out Boy,2005,Rock,Dance_ Dance - Fall Out Boy.wav
Dragonborn,3.91,Jeremy Soule,2011,Game,Dragonborn - Jeremy Soule.wav
Gimme! Gimme! Gimme! (A Man After Midnight),4.86,ABBA,1979,Pop,Gimme_ Gimme_ Gimme_ _A Man After Midnight_ - ABBA.wav
Head Over Heels,4.26,Tears for Fears,1985,Pop,Head Over Heels - Tears For Fears.wav
Hey Ya!,3.91,OutKast,2003,Hip-Hop,Hey Ya_ - Outkast.wav
Holiday,3.86,Green Day,2004,Rock,Holiday - Green Day.wav
In the End,3.6,Linkin Park,2000,Metal,In the End - Linkin Park.wav
INVISIBLE,3.18,Duran Duran,2021,Pop,INVISIBLE - Duran Duran.wav
Iris,4.81,Goo Goo Dolls,1998,Rock,Iris - The Goo Goo Dolls.wav
Midnight City,4.01,M83,2011,Alt/Indie,Midnight City - M83.wav
My Band,4.96,D12,2004,Hip-Hop,My Band - D12.wav
Nine in the Afternoon,3.18,Panic! At The Disco,2008,Pop,Nine in the Afternoon - Panic_ At The Disco.wav
Pascal,4.78,Keiichi Okabe,2017,Game,Pascal - Keiichi Okabe.wav
Paulownia Mall -Reload-,1.25,Azumi Takahashi,2024,Game,Paulownia Mall -Reload- - Azumi Takahashi.wav
Pursuit of Happiness (Nightmare),4.91,Kid Cudi,2009,Hip-Hop,Pursuit Of Happiness _Nightmare_ - Kid Cudi.wav
Right Where You Want Me,3.51,Jesse McCartney,2006,Pop,Right Where You Want Me - Jesse McCartney.wav
Rock the House,4.15,Gorillaz,2001,Hip-Hop,Rock the House - Gorillaz.wav
Stupid for You,3.18,Waterparks,2016,Rock,Stupid for You - Waterparks.wav
Tek It,3.18,Cafuné,2021,Alt/Indie,Tek It - Cafuné.wav
The Memory Remains,4.65,Metallica,1997,Metal,The Memory Remains - Metallica.wav
Toxicity,3.63,System of a Down,2001,Metal,Toxicity - System Of A Down.wav
War Pigs,7.9,Black Sabbath,1970,Metal,War Pigs - Black Sabbath.wav
What Once Was,4.25,Hers,2017,Alt/Indie,What Once Was - Her_s.wav
